x	y
9.96989324	-7.18504994
1.73871933	-1.41857224
6.29706319	-0.370097527
6.51103088	2.61019891
7.47150561	-3.22520493
2.38757628	0.363464455
3.95677902	-2.08392738
2.53167413	1.03352405
1.85818878	-1.6411504
1.37095777	-1.07350703
1.89289931	-0.265426544
1.69479193	-0.446743256
4.24773942	0.476572821
3.30463922	-1.83386209
9.42011272	0.511810789
7.6074127	-3.49651142
5.87735285	-3.02345023
5.76058673	-2.9627344
5.38425466	-1.20616146
9.92306857	-6.53657215
8.19186623	-2.05294562
0.167906919	-0.143488931
8.58866695	3.78633
9.81529166	-6.61503331
8.22197299	-1.43244924
8.42918759	1.3307223
2.29160377	0.989516403
3.30426078	-0.987668406
0.750467372	0.941874788
6.04161131	-1.68839892
8.33482475	-0.0241740505
0.772586648	0.947888837
8.8922786	6.84163003
4.67065354	1.36630576
6.44192544	2.11224313
9.07779472	6.63378661
4.64453918	3.11260042
1.36601432	-0.231980485
7.02181272	3.89391059
1.47038202	-1.52177396
8.76718633	5.58295961
5.60542759	-2.98188648
1.63755806	-0.354387614
1.54731345	-1.75583575
0.575320102	1.24752169
5.43752067	-1.61247516
3.0488911	0.128987401
1.73202179	-1.35906886
2.35334712	1.05767639
7.00833308	3.01898268
0.757287336	0.767391612
8.42776101	1.36371299
1.60287974	-0.844789688
0.966721778	-0.0974082889
2.42246259	2.03345498
7.65517436	-2.76775655
2.71060115	1.76546912
6.29606824	0.000801384005
5.98053715	-3.41253005
8.57737964	2.15121116
8.06606197	-3.85931567
4.93005392	2.83724532
8.95872444	6.55572129
7.10699762	2.95552543
9.29887564	2.51622348
9.32462633	1.4854654
7.32116638	0.693129187
5.55968417	-2.94211706
8.72355554	5.34246826
3.88710566	-1.46538814
4.27227528	-0.0695854911
3.82766238	-2.41288822
6.37020842	0.444632345
6.87877258	3.53439007
3.51498794	-2.94168978
5.39990137	-0.768860032
4.76732868	1.98544367
5.9120508	-3.63953212
1.09252535	-0.117206557
7.74472701	-4.07040322
2.05672753	-0.618103875
9.61598256	-3.45009969
5.1119882	1.34735034
9.16734737	3.36007107
3.99066556	-1.95684646
4.68592864	2.66759017
6.15326376	-1.247502
