N	TP_NS_P	COD_OBL	HSIZE	TYPE_DOM	H_WORK	AGE_HEAD	SEX_HEAD	CASHINC	TOTALINC	TOTALRES	CONSUM	CASHEXP	TOTALEXP	HOUSE	OWNHOUSE	STOTAL	SLIV	ROOMS	TIMEHOUS	HEATING	HEATIND	RUNWATER	SEVERAGE	HOTWATER	GASKOL	GASCENTR	GASBAL	ELEKTRPL	BATH	HTELEPH	L_EDUC
1	1	5	2	1	1	57	2	1377	1997	1997	4033	4063	4682	1	1	38	19	1	6	1	2	1	1	1	2	2	2	1	1	1	5
2	1	5	1	2	1	19	2	8190	8623	8873	11401	11451	12159	1	1	52	28	2	5	1	2	1	1	1	2	1	2	2	1	1	6
3	1	5	2	2	2	25	1	9510	13588	13868	6409	6489	10847	5	1	1	18	1	4	1	2	1	1	1	2	2	2	1	1	2	1
4	1	5	4	1	1	34	1	6730	7569	7569	5842	6429	7268	5	1	1	38	3	4	1	2	1	1	1	2	1	2	2	1	1	4
5	1	5	5	1	2	46	1	5003	5895	7475	9285	9915	11037	5	1	1	39	3	5	1	2	1	1	1	2	2	2	1	1	1	1
6	1	5	3	1	2	28	1	8780	9600	9680	4494	4564	5383	1	1	30	18	1	4	1	2	1	1	2	1	1	2	2	1	2	6
7	1	5	2	2	2	47	2	3159	3953	3953	4124	4124	4919	1	2	30	18	1	4	1	2	1	1	2	1	1	2	2	1	2	7
8	1	5	4	1	1	33	1	7465	7545	7545	6473	6473	6553	1	4	32	19	1	5	1	2	1	1	1	2	1	2	2	1	2	1
9	1	5	1	2	1	62	2	2336	2572	3042	3154	3204	3440	1	2	30	18	1	4	1	2	1	1	2	1	1	2	2	1	1	1
10	1	5	1	2	1	57	2	1427	2805	2955	1925	1925	3303	1	1	46	33	3	4	1	2	1	1	2	1	1	2	2	1	1	6
11	1	5	2	2	2	53	1	5024	6081	6841	6538	6880	7937	1	1	54	29	2	4	1	2	1	1	2	1	1	2	2	1	1	5
12	1	5	1	2	1	47	2	1775	1800	2050	3361	3421	3696	1	1	47	31	2	3	1	2	1	1	2	1	1	2	2	1	2	4
13	1	5	3	2	3	65	1	26254	27663	27663	12690	30199	31608	1	1	54	38	3	4	1	2	1	1	1	2	1	2	2	1	1	5
14	1	5	3	1	2	37	1	3325	4487	4537	2559	2608	3770	5	1	1	16	1	3	1	2	1	1	2	1	1	2	2	2	2	4
15	1	5	4	1	2	39	1	5540	7590	7590	6750	7075	9125	5	1	1	9	1	3	1	2	1	1	2	2	1	2	2	2	2	4
16	1	5	3	1	2	35	1	3699	3972	3972	4066	4066	4339	1	1	44	25	2	3	1	2	1	1	2	1	1	2	2	1	1	5
17	1	5	3	1	2	25	1	5419	6384	6404	4009	5150	6135	5	1	1	18	1	4	1	2	1	1	1	2	1	2	2	1	2	4
18	1	5	3	1	2	42	1	4880	5415	5835	4394	4554	5209	1	2	33	18	1	4	1	2	1	1	2	1	1	2	2	1	2	4
19	1	5	2	2	1	59	2	5040	5332	6302	10383	10823	11135	1	1	48	33	2	3	1	2	1	1	2	1	1	2	2	1	1	6
20	1	5	1	2	1	46	1	864	901	911	504	504	550	1	2	44	31	2	3	1	2	1	1	2	1	1	2	2	1	2	4
21	1	5	1	2	1	33	2	6035	6419	6519	3569	3969	5753	5	1	1	17	1	3	1	2	1	1	1	2	1	2	2	2	2	4
22	1	5	1	2	1	55	2	2738	4262	4262	6881	6919	8443	1	1	40	28	2	5	1	2	1	1	1	2	1	2	2	1	1	3
23	1	5	1	2	1	52	2	1036	2174	2482	3698	3698	4836	1	1	34	18	1	5	1	2	1	1	1	2	1	2	2	1	2	999
24	1	5	4	1	2	34	2	3042	4224	4224	2602	2622	3803	1	2	64	36	3	5	1	2	1	1	1	2	1	2	2	1	2	4
25	1	5	5	1	2	42	2	2039	6737	6837	2150	2165	6963	1	2	64	39	3	5	1	2	1	1	1	2	1	2	2	1	1	4
26	1	5	1	2	1	65	2	1251	2110	2110	2027	2027	2886	1	1	27	18	1	4	1	2	1	1	1	2	1	2	2	1	1	1
27	1	5	1	2	1	74	1	4840	5401	5401	6191	7141	7702	1	1	50	29	2	4	1	2	1	1	1	2	1	2	2	1	1	1
28	1	5	1	2	1	70	2	1554	1554	1554	1918	1938	1938	1	2	37	25	1	1	1	2	1	1	2	1	1	2	2	1	2	8
29	1	5	2	2	2	51	2	6393	7143	7343	16889	17069	17819	1	1	34	19	1	6	1	2	1	1	1	2	1	2	2	1	1	6
30	1	5	1	2	1	54	2	1811	2274	2274	2457	2636	3100	1	1	37	18	1	6	1	2	1	1	1	2	1	2	2	1	2	6
31	1	5	1	2	1	60	2	1377	2131	2331	3891	3891	4645	1	2	46	28	2	6	1	2	1	1	1	2	1	2	2	1	2	6
32	1	5	2	2	1	65	1	2943	3742	3742	3756	3796	4595	1	2	70	45	4	5	1	2	1	1	1	2	1	2	2	1	1	5
33	1	5	2	2	2	53	2	5848	5848	5948	4732	4832	4932	1	1	49	28	2	5	1	2	1	1	1	2	1	2	2	1	1	4
34	1	5	4	2	2	48	2	3810	4402	4402	5325	5350	5943	5	1	1	28	2	3	1	2	1	1	2	2	1	2	2	1	2	6
35	1	5	1	2	1	55	2	1367	1620	1620	2114	2165	2417	5	1	1	9	1	3	1	2	1	1	2	2	1	2	2	1	2	6
36	1	5	3	1	1	45	2	1840	3059	3059	3394	3436	4655	1	2	49	29	2	4	1	2	1	1	2	1	1	2	2	1	1	3
37	1	5	1	2	1	88	2	1412	2056	2056	3054	3054	3697	1	1	31	17	1	3	1	2	1	1	2	1	1	2	2	1	1	4
