date	full_hours	minutes	hours	avg_pulse	min_pulse	max_pulse	training
13.11.2020	9	56	9,93333	61	54	107	1
14.11.2020	6	28	6,46667	65	55	115	0
15.11.2020	7	51	7,85	63	57	109	1
16.11.2020	7	29	7,48333	68	61	101	1
17.11.2020	7	34	7,56667	64	57	111	0
18.11.2020	9	18	9,3	66	55	100	0
19.11.2020	8	8	8,13333	69	57	136	2
20.11.2020	7	52	7,86667	67	61	113	1
21.11.2020	6	52	6,86667	72	60	113	0
22.11.2020	7	0	7	71	61	125	1
23.11.2020	5	25	5,41667	70	61	109	1
24.11.2020	8	17	8,28333	69	59	140	2
25.11.2020	5	29	5,48333	64	55	108	0
26.11.2020	8	3	8,05	67	57	145	2
27.11.2020	7	9	7,15	62	51	107	1
28.11.2020	5	49	5,81667	65	57	103	0
29.11.2020	0	0	0	89	60	136	2
30.11.2020	7	39	7,65	60	54	90	0
01.12.2020	7	7	7,11667	71	58	94	0
02.12.2020	9	9	9,15	63	55	94	0
03.12.2020	9	4	9,06667	64	57	105	0
04.12.2020	8	6	8,1	65	51	115	1
05.12.2020	3	27	3,45	66	57	120	1
06.12.2020	0	0	0	70	53	80	0
07.12.2020	7	31	7,51667	62	51	112	0
08.12.2020	7	44	7,73333	68	53	141	2
09.12.2020	5	40	5,66667	67	57	127	0
10.12.2020	8	20	8,33333	65	58	116	0
11.12.2020	0	0	0	73	63	112	1
12.12.2020	5	4	5,06667	69	57	111	1
13.12.2020	0	0	0	79	66	109	0
14.12.2020	7	58	7,96667	65	57	111	0
15.12.2020	6	46	6,76667	65	55	110	0
